tahun,bulan,pintu_masuk,jumlah
2012,Januari,Bandara Soekarno-Hatta,156654
2012,Januari,Bandara Halim Perdana Kusuma,265
2012,Januari,Pelabuhan Tanjung Priok,5449
2012,Februari,Bandara Soekarno-Hatta,154698
2012,Februari,Bandara Halim Perdana Kusuma,491
2012,Februari,Pelabuhan Tanjung Priok,4409
2012,Maret,Bandara Soekarno-Hatta,165927
2012,Maret,Bandara Halim Perdana Kusuma,436
2012,Maret,Pelabuhan Tanjung Priok,5763
2012,April,Bandara Soekarno-Hatta,161005
2012,April,Bandara Halim Perdana Kusuma,788
2012,April,Pelabuhan Tanjung Priok,5760
2012,Mei,Bandara Soekarno-Hatta,185932
2012,Mei,Bandara Halim Perdana Kusuma,567
2012,Mei,Pelabuhan Tanjung Priok,4995
2012,Juni,Bandara Soekarno-Hatta,169682
2012,Juni,Bandara Halim Perdana Kusuma,358
2012,Juni,Pelabuhan Tanjung Priok,5351
2012,Juli,Bandara Soekarno-Hatta,190320
2012,Juli,Bandara Halim Perdana Kusuma,556
2012,Juli,Pelabuhan Tanjung Priok,5819
2012,Agustus,Bandara Soekarno-Hatta,140077
2012,Agustus,Bandara Halim Perdana Kusuma,307
2012,Agustus,Pelabuhan Tanjung Priok,4857
2012,September,Bandara Soekarno-Hatta,182214
2012,September,Bandara Halim Perdana Kusuma,488
2012,September,Pelabuhan Tanjung Priok,5876
2012,Oktober,Bandara Soekarno-Hatta,184894
2012,Oktober,Bandara Halim Perdana Kusuma,361
2012,Oktober,Pelabuhan Tanjung Priok,5507
2012,Nopember,Bandara Soekarno-Hatta,185112
2012,Nopember,Bandara Halim Perdana Kusuma,619
2012,Nopember,Pelabuhan Tanjung Priok,5972
2012,Desember,Bandara Soekarno-Hatta,177335
2012,Desember,Bandara Halim Perdana Kusuma,259
2012,Desember,Pelabuhan Tanjung Priok,6410
